Dimension,Mean,Std,Min,Max
0,-0.036263324,1.7739981,-4.9834094,5.0180736
1,-0.007974494,2.1539009,-6.0614014,6.3663287
2,0.05568335,1.2931411,-4.6130977,5.5476065
3,-0.028535781,1.3151245,-4.249194,3.5821962
4,0.032230943,1.7377093,-4.962651,4.999768
5,0.008304707,2.1458516,-7.779229,7.1707525
6,0.0059494264,1.8331739,-5.195118,6.701007
7,0.017695371,1.9805765,-7.1291156,6.4428616
8,-0.033472467,1.6080922,-6.9014144,5.2199025
9,0.03468542,2.0747294,-5.6003428,5.2666373
10,0.0135181425,1.2314763,-4.2784524,6.7274957
11,0.002052775,1.8554548,-5.9106145,5.196175
12,-0.0038768116,1.6275079,-4.731586,4.9314475
13,-0.010120253,1.736439,-4.8447227,5.1531987
14,0.031478405,1.8352575,-5.1316094,5.316572
15,-0.03617534,2.0910714,-8.029431,7.6595125
16,-0.018699236,2.036014,-6.6738434,5.1188827
17,-0.00037055582,1.2301797,-3.2699692,5.9772096
18,-0.030914178,1.4880633,-4.3932986,4.447308
19,-0.02309426,1.3861845,-4.72859,5.5988374
20,0.00358852,2.1186829,-7.0868564,5.492465
21,-0.016970398,1.502419,-4.2728515,5.5590687
22,-0.0072224694,1.3888239,-4.027968,5.055289
23,-0.02820342,2.4424994,-8.099777,5.854619
24,-0.02354686,1.7685714,-6.0250435,4.738572
25,-0.0326771,1.9201988,-5.875596,5.541912
26,0.012132215,2.217014,-8.482254,6.382022
27,0.015028377,1.6689858,-4.7239876,6.7145386
28,-0.004491189,1.7814153,-5.181062,4.935249
29,-0.0081623895,1.7851549,-4.94668,8.567049
30,0.0076763155,2.0824895,-6.2232475,6.242974
31,-0.018355617,1.6614445,-5.116229,6.127408
32,-0.049304634,2.2712176,-9.449508,5.633832
33,-0.0047703423,2.4452684,-7.505687,6.2448134
34,-0.051850904,1.5944921,-4.790319,4.6903267
35,0.0014885,1.7880101,-5.4964113,7.5108604
36,-0.023548288,1.5145935,-4.4100585,4.781025
37,0.020013157,1.8466376,-5.6508136,4.895026
38,-0.021001508,1.6900707,-4.973909,5.5498753
39,0.010332489,1.5261012,-3.7702832,4.376212
40,-0.0061010392,2.0728266,-6.6438193,5.346789
41,-0.017900754,2.04106,-5.5924344,4.806288
42,0.012527911,2.074881,-6.677355,5.8258305
43,-0.016082043,1.6746454,-4.308099,5.8320975
44,0.0170981,1.8602835,-5.6575227,4.903176
45,0.007737975,1.8603938,-6.0469236,4.586032
46,-0.017101903,1.8624159,-5.970729,6.7052784
47,-0.019273445,1.5681266,-4.8523226,6.046396
48,-0.006141394,2.0056627,-5.752429,6.4748144
49,-0.008188503,2.0006824,-6.150636,6.2960916
50,-0.031872816,1.7246858,-5.0835986,4.8656597
51,-0.04252578,1.5825914,-5.7208757,4.9793725
52,-0.010008255,1.7964293,-6.6846294,5.563267
53,0.035066582,1.5867022,-4.4167976,5.72744
54,-0.030803604,1.8664681,-4.7053814,5.311294
55,0.014987828,1.8240583,-5.3442955,8.735522
56,-0.013918834,1.6022061,-4.816127,5.185213
57,-0.02225963,1.7008317,-7.141763,5.18933
58,0.0010040859,1.624035,-4.2025433,5.017825
59,-0.007566103,2.0106766,-6.899503,5.2369337
60,-0.022289148,1.6902701,-4.3970966,4.8949013
61,0.013685487,2.468542,-5.461898,8.180376
62,0.031606648,2.0799646,-5.739272,5.2946863
63,0.049431514,1.6578463,-4.600783,5.079889
