Gene,Importance
Gene_143,1.0
Gene_647,0.95217717
Gene_613,0.9295778
Gene_350,0.85626847
Gene_958,0.8537692
Gene_484,0.77968645
Gene_729,0.77767426
Gene_789,0.77631104
Gene_744,0.7537431
Gene_40,0.7343646
Gene_514,0.72847044
Gene_361,0.7221612
Gene_377,0.7204465
Gene_788,0.68254364
Gene_558,0.6603625
Gene_106,0.65114665
Gene_357,0.60271
Gene_676,0.6006112
Gene_270,0.59924096
Gene_657,0.59759945
Gene_870,0.5652486
Gene_952,0.5507508
Gene_881,0.5363443
Gene_917,0.528118
Gene_929,0.5188028
Gene_608,0.51587635
Gene_279,0.50295866
Gene_44,0.48530397
Gene_630,0.46667483
Gene_184,0.39682448
Gene_372,0.39615482
Gene_562,0.39314938
Gene_257,0.37383106
Gene_762,0.3611539
Gene_724,0.3560719
Gene_979,0.35056755
Gene_202,0.34313735
Gene_342,0.3425007
Gene_58,0.33739322
Gene_55,0.32859927
Gene_198,0.32160503
Gene_991,0.3211773
Gene_843,0.3124621
Gene_710,0.31209332
Gene_20,0.31096336
Gene_120,0.30929488
Gene_635,0.30654782
Gene_533,0.3017881
Gene_329,0.29909304
Gene_600,0.29666254
